interest,Afghanistan,Algeria,Angola,Argentina,Australia,Austria,Bahrain,Bangladesh,Belgium,Bolivia,Bosnia-Herzegovina,Botswana,Brazil,Brunei,Cambodia,Cameroon,Canada,Chile,China,Colombia,Congo Dem Rep,CoteDIvore,Cuba,Czech,Denmark,Ecuador,Egypt,Ethiopia,Finland,France,Gambia,Germany,Ghana,Greece,Hong Kong,Hungary,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Lebanon,Lesotho,Liberia,Libya,Madagascar,Malawi,Malaysia,Mali,Mauritania,Mauritius,Mexico,Mongolia,Morocco,Mozambique,Namibia,Netherlands,New Zealand,Niger,Nigeria,Norway,Oman,Pakistan,Palestine,Paraguay,Peru,Philippines,Portugal,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Seychelles,Sierra Leone,Singapore,Slovakia,Somalia,South Africa,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tanzania,Thailand,Togo,Tunisia,Turkey,UAE,UK,USA,Uganda,Ukraine,Uruguay,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe
Credit Cards,,10065.0,,,,,,,,,,,,,,,,,,,,,,,,,59955.0,,,,,,,,,,39090.0,,,,,,,,,,,,,,,,,,243435.0,,,,,,,,,,10800.0,,,,,,,,,72525.0,,,,,,42120.0,,,,,,,,,,,,,,,,,12930.0,,,,,,202080.0,,13260.0,,,,,,,,
Cricket,42225.0,,,,259455.0,,149880.0,33825.0,19845.0,,,,,,,,106725.0,,,,,,,,13410.0,,,78855.0,10005.0,85320.0,,75345.0,18555.0,11235.0,24630.0,,1091085.0,,,11220.0,173670.0,,35745.0,10800.0,11580.0,,59175.0,276870.0,,,,,,,37500.0,,,,,,,,,67755.0,99165.0,,218490.0,18855.0,221640.0,2559780.0,,,,,24540.0,403830.0,,,,1098165.0,,,,38730.0,,,128145.0,,,121470.0,31770.0,,,22110.0,25770.0,,,16440.0,34890.0,,,24240.0,2048130.0,72015.0,321840.0,28275.0,,,,,,14820.0,10410.0
Crime,,,,,50280.0,,44655.0,,,,,,,,,,29235.0,,,,,,,,,,,,,11820.0,,13755.0,,,,,830775.0,11055.0,,,11145.0,,10785.0,,,,,66615.0,,,,,,,97170.0,,,,,,,,,,13770.0,,,,55050.0,,,,,104220.0,,97140.0,,,,137565.0,,,,122430.0,,,957060.0,,,,,,,,,,,,14415.0,,,,648075.0,81180.0,118905.0,,,,,,,,
Crime and Mystery Movies,,19020.0,,21090.0,527655.0,,119880.0,14880.0,25020.0,,,,37560.0,10125.0,,,178770.0,16485.0,,27945.0,,,,,11940.0,11820.0,34770.0,,,167490.0,,70770.0,,,13470.0,,2669415.0,139890.0,,10920.0,53445.0,16065.0,58350.0,,56925.0,11100.0,,210195.0,16200.0,,,,,,1272855.0,,,,70740.0,,18315.0,,,41235.0,46935.0,,14175.0,13035.0,156690.0,71430.0,,,24510.0,289920.0,,299760.0,,,,377520.0,,,,133770.0,,,122115.0,15975.0,,47280.0,,,,20115.0,21150.0,,,,104805.0,,,20295.0,1974030.0,249240.0,1003590.0,,,,,75705.0,,,
Crossover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18870.0,,,,,,,,,10620.0,,,,,,,,202410.0,,,,,,,,,,,,,,,,,,,,,,26190.0,,,16515.0,,,,10170.0,,,,,,,,,,,,,,,11385.0,,,,,,,,,,,,,,
Cruises,,,,,,,,,,,,,,,,,,,,,,,,,,,16995.0,,,18675.0,,,,,,,47565.0,,,,,,,,54135.0,,,,,,,,,,16530.0,,,,,,,,,,65730.0,,,,,,,,,,,,,,,19080.0,,,,32850.0,,,,,,,,,,,,,10125.0,,15765.0,,,,14880.0,,,,,,,,,,
Currencies,,,,,26190.0,,24780.0,,,,,,,,10230.0,,19050.0,,,,,,,,,,10650.0,,,12840.0,,16485.0,10785.0,,,,387735.0,52785.0,,,,,10140.0,,,,137475.0,40860.0,,,,,,,37050.0,,,,,,,,,12090.0,29895.0,,175500.0,13530.0,41535.0,10770.0,,,,20145.0,,68340.0,,,,225165.0,,,,44520.0,,,231255.0,,,,,,,10890.0,,,,13845.0,13545.0,,,,961035.0,100590.0,64005.0,29295.0,,,,,,,
Cycling,,,,,277230.0,,,,21315.0,,,,10020.0,,,,122970.0,,,,,,,,15195.0,,,,,74055.0,,42795.0,,,30255.0,,23610.0,11010.0,,,145950.0,,20490.0,,18765.0,,11325.0,,,,,,,,32565.0,,,,11625.0,,,,,122520.0,74355.0,,20865.0,12015.0,,,,,,13155.0,21675.0,,,,,,,,,53355.0,,,106425.0,,,104370.0,,,,21075.0,27705.0,,,,35400.0,,,,33330.0,15405.0,344610.0,,,,,,,,
Dance,,40965.0,,,,,,,,,,,,,,,11085.0,,,,,,,,,,90360.0,,,60825.0,,13770.0,,,,,12630.0,,,32880.0,,,,,15255.0,33555.0,,21120.0,25245.0,,,12975.0,,,117870.0,,,,,,31320.0,,,,,,,,18645.0,,12180.0,,,48675.0,,,,,,183135.0,,,,,,,,,,,,20190.0,,,,18510.0,,,,,15525.0,11175.0,181215.0,,45675.0,,,,,,,,
Dance and Electronic Music,,,,,37470.0,,,12060.0,,,,,10950.0,,,,35130.0,,,,,,,,,,10890.0,,,80610.0,,21435.0,,,,,402360.0,669810.0,,,,,15645.0,,17430.0,,,15300.0,,,,,,,20160.0,,,,,,,,,10200.0,17370.0,,,,10200.0,100995.0,,,,103125.0,,22830.0,,,,33480.0,,,,14190.0,,,27705.0,,,,,,,,,,,,11430.0,,,,178125.0,25575.0,157590.0,,,,,13680.0,,,
Darts,,,,,855120.0,22770.0,11805.0,11790.0,67905.0,,,,22515.0,,12405.0,10380.0,347655.0,,,,,,,23265.0,48105.0,,24330.0,182820.0,41775.0,179190.0,,150270.0,80070.0,30285.0,101370.0,16080.0,173460.0,116460.0,,,636975.0,28755.0,65310.0,23550.0,50160.0,,204435.0,12705.0,,,,,,23100.0,167715.0,,,36780.0,28020.0,,64050.0,,23535.0,127260.0,250575.0,,594000.0,60150.0,12630.0,30885.0,,,,97770.0,66270.0,28755.0,59070.0,13215.0,,45765.0,,,13620.0,160530.0,,,232230.0,18150.0,13620.0,319065.0,25335.0,,,76305.0,81945.0,,,51360.0,120615.0,,,26910.0,176565.0,96345.0,974070.0,69870.0,,,,10410.0,,45285.0,27945.0
Dash Cam Videos,,,,,28335.0,,,,,,,,,,,,,,,,,,,,,,,,,12285.0,,,,,,,11595.0,38670.0,,,,,,,,,23295.0,,,,,,,,19755.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14010.0,,,,,,,,,,,,,,,,,13785.0,20400.0,,,,,,,,
Data Storage and Warehousing,,,,,12765.0,,12225.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40830.0,59250.0,,,,,,,,,,20790.0,,,,,,,,,,,,,,,,,,,,,18840.0,,,,,11970.0,,65715.0,,,,104880.0,,,,,,,,,,,,,,,,,,,,,,,112305.0,,17940.0,,,,,,,,
Databases,,18165.0,,,104010.0,,10980.0,,,,,,,,,,15345.0,,,,,,,,,,23130.0,,,51090.0,,10140.0,,,,,13455.0,73440.0,,,,,14340.0,,,10125.0,33165.0,25470.0,224580.0,,,,,,206445.0,,,,10125.0,,15555.0,,,14145.0,43230.0,,36690.0,,18435.0,,,,14775.0,30240.0,12840.0,29055.0,,,,134130.0,,,,24000.0,,,59235.0,,,20325.0,,,,,,,,,11985.0,,,,154365.0,32490.0,46005.0,,,,,12495.0,,,
Dating,,215400.0,,,25440.0,,22965.0,,,,,,,,,,23985.0,,,,,,,,,,118770.0,,,39885.0,,44655.0,,,,,176670.0,,,123315.0,,16260.0,19395.0,,,194295.0,,52785.0,24255.0,,,66570.0,,,32280.0,,,,,,596835.0,,,,,,,,43410.0,20985.0,62970.0,,,51960.0,,30990.0,,,,288405.0,,,,54570.0,,,44115.0,,,12270.0,,27990.0,,13455.0,,28845.0,,,14910.0,,29520.0,24300.0,147195.0,35100.0,86790.0,,,,,,20925.0,,
Day Trips,,,,,,,10320.0,,,,,,,,,,,,,,,,,,,,18945.0,,,,,,,,,,1055325.0,94065.0,,,,32580.0,,,98310.0,,14430.0,17595.0,11205.0,,,,,,100200.0,,,,,,21465.0,,,,,,,,20415.0,,,,,,,28020.0,,,,39990.0,,,,146265.0,,,48015.0,32610.0,,,,,,,,,29235.0,,130920.0,,,,168930.0,10560.0,19740.0,,,,,,,,
Daycare and Pre-School,,,,,26370.0,,,,,,,,,,,,25215.0,,,,,,,,,,,,,12960.0,,,,,,,142080.0,,,,,,,,,,,,,,,,,,325500.0,,,,,,,,,,10545.0,,,,,,,,,102480.0,,11700.0,,,,20610.0,,,,90735.0,,,186075.0,,,,,,,,,,,,,,,,52605.0,14310.0,151785.0,,,,,,,,
Debt Factoring & Invoice Discounting,,72900.0,,,70800.0,,58815.0,,,,,,,,,,19500.0,,,,,,,,,,276570.0,,,80955.0,,33330.0,,,,,320400.0,35070.0,,41100.0,,18585.0,30240.0,,15825.0,71145.0,35490.0,133035.0,30885.0,,,12555.0,,,116715.0,,,,,,62835.0,,,20940.0,99960.0,,32055.0,,103425.0,54840.0,28470.0,,,42840.0,,163800.0,,,,816390.0,,,,71505.0,,,355485.0,14565.0,,,,12300.0,,,,17520.0,10530.0,,87690.0,,26700.0,16440.0,1593165.0,53880.0,86145.0,,,,,,,,
Defense Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10395.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dental Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57795.0,,,,,,,,,,,,,,,,,,77610.0,,,,,,,,,,,,,,,,,,,,,16170.0,,,,18240.0,,,,,,,,,,,,,,,,,,,,,,,43470.0,,24330.0,,,,,,,,
Deodorant and Antiperspirant,,78420.0,,11670.0,30540.0,,21930.0,26205.0,85200.0,,,,37155.0,,,,85530.0,,,,,16965.0,,,,,36510.0,,,1198665.0,,25800.0,,,,,680280.0,38790.0,,15150.0,,,20460.0,,56085.0,,,36045.0,34710.0,,,,,,71835.0,,,,26280.0,,73965.0,,,16425.0,,,,,73605.0,56745.0,,,11025.0,53370.0,,43755.0,,,,130200.0,15195.0,,,17595.0,,,10365.0,46935.0,,22155.0,,,,,34080.0,,,,101625.0,,37950.0,12765.0,211860.0,45660.0,136800.0,,,,,,,,
Design,,,,,17955.0,,,,,,,,,,,,,,,,,,,,,,,,,14250.0,,,,,,,106245.0,,,,,,,,17685.0,,,15855.0,,,,,,,,,,,,,,,,,,,,,11085.0,,,,,,,24375.0,,,,23520.0,,,,,,,,,,,,,,,,,,,,,,,94035.0,,16695.0,,,,,,,,
Designer Clothing,,46425.0,,,102735.0,,12180.0,,,,,,19785.0,,,,21255.0,,,,,,,,,,101265.0,,,102990.0,,22380.0,,,,,171555.0,82185.0,,36165.0,,12690.0,13470.0,,51300.0,38820.0,,137835.0,40575.0,,,14460.0,,,11955.0,,,,10245.0,,36555.0,,,,16065.0,,,,29265.0,13215.0,13365.0,,,83505.0,,114090.0,,,,302100.0,,,,136260.0,,,77550.0,,,16470.0,,21165.0,,,,20100.0,,,32940.0,,22365.0,15060.0,280395.0,23145.0,85875.0,,,,,,,,
Desktop Publishing,,2240265.0,,21255.0,264390.0,22890.0,170400.0,,88530.0,,,,84735.0,,,,137715.0,11325.0,,13830.0,,,,,16275.0,,913785.0,,12045.0,344565.0,,351645.0,,,,,591405.0,1141035.0,,1003935.0,21045.0,168180.0,178125.0,,83655.0,1427445.0,15120.0,317550.0,208260.0,,,311055.0,,,190485.0,,110880.0,,31245.0,,8597790.0,,,84495.0,21540.0,,,28185.0,390315.0,64275.0,637740.0,,14925.0,35550.0,14130.0,197400.0,,30540.0,,2299830.0,,,,41475.0,,,20550.0,27045.0,11235.0,193620.0,,462915.0,,99255.0,19065.0,284820.0,,,58170.0,,324255.0,203760.0,865785.0,230520.0,684960.0,,32475.0,,,13020.0,177525.0,,
Desktops,,,,,,,,,,,,,,,,,,,,,,,,,,,10785.0,,,,,,,,,,96030.0,,,,,,,,,,,11040.0,,,,,,,155805.0,,,,,,,,,,,,,,,,,,,,,20925.0,,,,37695.0,,,,,,,,,,,,,,,,,,,10575.0,,,,55185.0,,,,,,,,,,
Desserts and Baking,,,,,189150.0,,,,13770.0,,,,19125.0,,,,39240.0,,,,,,,,,,10215.0,,,114600.0,,13350.0,,,,,115695.0,15735.0,,,39585.0,10500.0,10695.0,,71025.0,,,16020.0,,,,,,,32595.0,,,,12960.0,,,,,18630.0,58395.0,,,,,11040.0,,,,80625.0,,23700.0,,,,34215.0,,,,43455.0,,,55980.0,18885.0,,24315.0,,,,,,,,,61890.0,,,,225075.0,450810.0,143295.0,,,,,,,,
Diabetes,,,,,10965.0,,14910.0,,,,,,,,,,10215.0,,,,,,,,,,,,,,,,,,,,365040.0,,,,,,,,,19470.0,,22395.0,,,,,,,13200.0,,,,,,,,,,,,,,17250.0,,,,,,,27165.0,,,,40680.0,,,,17475.0,,,,,,,,,,,,,,,,,,,120750.0,,36570.0,,,,,,,,
Digestive Disorders,,,,12030.0,,,,,,,,,,,,,,11925.0,,15405.0,,,,,,,,,,58380.0,,,,,,,11775.0,416610.0,,,,,,,,11490.0,,,,,,,,,547350.0,,,,34110.0,,,,,,,,,,35340.0,,,,23430.0,11340.0,16380.0,,,,,,,,,,,,,,,47655.0,,,,,,,,,,,,,,,14490.0,,,,,,,,
Digital Arts,,,,,163470.0,,,,,,,,,,,,30360.0,,,,,,,,,,,,,34125.0,,12840.0,,,,,55095.0,,,,12840.0,,,,45420.0,,,,,,,,,,,,,,,,,,,10005.0,24105.0,,,,,,,,,,,11445.0,,,,12195.0,,,,,,,10725.0,,,11610.0,,,,,,,,,11565.0,,,,27825.0,,141720.0,,,,,,,,
Digital Audio,,2349240.0,,157890.0,187935.0,96240.0,158790.0,43035.0,115005.0,29985.0,,,361665.0,,,,206550.0,95415.0,,179070.0,,,,21375.0,23475.0,82605.0,1175085.0,,21360.0,523020.0,,602370.0,,36765.0,17175.0,16740.0,762150.0,119865.0,,1044915.0,166575.0,208860.0,513375.0,,355500.0,1460925.0,16695.0,334335.0,267915.0,,,316995.0,,,77595.0,,112965.0,,280365.0,,8673015.0,,,122295.0,13770.0,,18675.0,33900.0,375390.0,305430.0,661860.0,11820.0,151635.0,130260.0,38430.0,171435.0,57510.0,77580.0,,2482230.0,,,,49290.0,,,29610.0,148935.0,11280.0,452310.0,12540.0,467175.0,,118590.0,47970.0,295290.0,26205.0,,575445.0,,363135.0,434445.0,692055.0,440760.0,909135.0,,589815.0,19935.0,84510.0,273495.0,190800.0,,
Dining Out,,,,,78480.0,,,,,,,,,,,,13875.0,,,,,,,,,,,,,29235.0,,,,,,,95445.0,62460.0,,,,,,,55725.0,,,,,,,,,,40695.0,,,,,,,,,,22065.0,,,,11235.0,,,,,41730.0,,58635.0,,,,15210.0,,,,66285.0,,,43665.0,16485.0,,,,,,,,,12750.0,,40725.0,,,,149850.0,40500.0,84825.0,,,,,,,,
Disabled Sports,,12945.0,,,690360.0,12240.0,23760.0,,37320.0,,,,12615.0,,,,208155.0,,,,,,,12855.0,25305.0,,20340.0,77655.0,17925.0,118860.0,,87075.0,41940.0,14925.0,65325.0,,237585.0,24315.0,,,352665.0,14085.0,40965.0,13875.0,37650.0,10710.0,58335.0,33360.0,,,,,,,80760.0,,,13770.0,17505.0,,25980.0,,10635.0,100635.0,153600.0,,272130.0,30060.0,19635.0,39255.0,,,,194880.0,36345.0,56070.0,,,,103800.0,,,,102405.0,,,162885.0,10920.0,,197715.0,13425.0,,,38745.0,45600.0,,,20955.0,75720.0,,,33240.0,226365.0,39480.0,581955.0,24225.0,,,,,,17835.0,10965.0
Disasters,,,,,,,,,,,,,97020.0,,,,11100.0,,,,,,,,,,,,,,,,,,,,193905.0,11145.0,,,,,,,,,,10815.0,,,,,,,27585.0,,,,10005.0,,,,,,,,,,,,,,,57015.0,,10590.0,,,,23625.0,,,,37140.0,,,18720.0,,,,,,,,,,,,,,,,81885.0,13155.0,60885.0,,,,,,,,
Diseases and Conditions,,13140.0,,12945.0,50940.0,,24435.0,,,,,,,,,,30765.0,12510.0,,16005.0,,,,,,,20805.0,,,89295.0,,12570.0,,,,,528840.0,451395.0,,,,,,,20115.0,36480.0,,39300.0,10935.0,,,,,,579615.0,,,,36375.0,,,,,,24420.0,,,,68115.0,14715.0,,,24555.0,38595.0,17550.0,70275.0,,,,87600.0,,,,59760.0,,,410475.0,,,52065.0,,,,,,,,,30630.0,,,,245685.0,36210.0,141150.0,,,,,,,,
Diving,,,,,12720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Divorce,,,,,45270.0,,61500.0,,,,,,,,,,40500.0,,,,,,,,,,13875.0,,,46065.0,,14640.0,,,,,1468560.0,,,,10695.0,,10920.0,,,51180.0,,94965.0,10470.0,,,,,,84525.0,,,,,,,,,,10200.0,,,,74085.0,42435.0,,,,74655.0,,131085.0,,,,231465.0,,,,73065.0,,,341460.0,,,,,,,,,,,,17175.0,,,,969090.0,63150.0,131535.0,,,,,,,,
Documentary Movies,,55920.0,,42300.0,187830.0,17640.0,92220.0,67845.0,44385.0,,15225.0,,93195.0,,,,217200.0,28560.0,,33465.0,,,,11580.0,18060.0,18000.0,56115.0,,,304725.0,,148455.0,,19860.0,15855.0,10740.0,5158470.0,686475.0,,13680.0,46620.0,20820.0,135780.0,,106980.0,13320.0,11085.0,156645.0,23175.0,,,,,,233460.0,,,,97395.0,,39105.0,,,60765.0,41370.0,,22935.0,16815.0,106005.0,472320.0,,,36810.0,316935.0,15600.0,210105.0,22410.0,,,358110.0,,,,94245.0,,,179595.0,31050.0,,63510.0,29010.0,,,35865.0,28650.0,,12555.0,,147450.0,,19365.0,186825.0,876900.0,321180.0,969210.0,,,,,224985.0,,,
Dogs,,,,,42255.0,,,,,,,,,,,,21105.0,,,,,,,,,,,,,22305.0,,,,,,,285420.0,,,,,,,,18915.0,,,11670.0,,,,,,,83610.0,,,,,,,,,,16995.0,,,,,,,,,18885.0,,15270.0,,,,28830.0,,,,34620.0,,,46440.0,,,,,,,,,,,,13770.0,,,,77415.0,11325.0,121560.0,,,,,,,,
Drama Movies,,20610.0,,14955.0,155190.0,,112755.0,65310.0,20595.0,,,,17700.0,10860.0,,,160005.0,,,,,,,,11580.0,,20490.0,,,182370.0,,64410.0,,10185.0,12045.0,,6104715.0,142800.0,,,34185.0,13950.0,49635.0,,47970.0,,,186075.0,15690.0,,,,,,1877955.0,,,,32205.0,,16245.0,,,34710.0,38610.0,,17670.0,10440.0,125550.0,574905.0,,,11430.0,319905.0,,240435.0,,,,362505.0,,,,84810.0,,,25215.0,13920.0,,194925.0,23235.0,,,19920.0,15150.0,,,,43800.0,,,29460.0,1070640.0,221595.0,610560.0,,,,,16875.0,,,
Drama TV,11850.0,65325.0,,66315.0,202785.0,,68145.0,14460.0,24075.0,,,,43200.0,12255.0,,,174240.0,18060.0,,36195.0,,,,,14565.0,10050.0,106275.0,,,128955.0,,71640.0,,10425.0,40305.0,,1072095.0,61425.0,,31020.0,89100.0,17115.0,43590.0,,52860.0,37095.0,22695.0,125235.0,32010.0,,,,,,1596555.0,,,,69255.0,,88065.0,,,48360.0,56235.0,,554700.0,15825.0,86130.0,938655.0,,,42735.0,1442250.0,12465.0,172380.0,14820.0,,,470625.0,,,,204555.0,,,650385.0,23145.0,,89865.0,12330.0,12480.0,,24990.0,20880.0,,17325.0,20595.0,61935.0,,19935.0,26550.0,971160.0,150315.0,617085.0,,,,10980.0,16095.0,,,
Drawing and Sketching,,,,,27555.0,,,,,,,,,,,,,,,,,,,,,,,,,15615.0,,,,,,,86760.0,,,,,,,,,,,,,,,,,,126540.0,,,,,,,,,,,,,,,,,,,16710.0,,,,,,,,,,11880.0,,,,,,,,,,,,,,,,,,,20535.0,,11325.0,,,,,,,,
Driverless Cars,,41715.0,,,28365.0,,15180.0,,,,,,,,,,20865.0,,,,,,,,,,25665.0,,,50625.0,,14715.0,,,,,279540.0,16365.0,,,,,,,16020.0,,,26115.0,,,,,,,125880.0,,,,,,,,,14670.0,162390.0,,,,33945.0,11130.0,,,,55740.0,,229890.0,,,,97965.0,,,,77175.0,,,199470.0,,,,,,,,,,,,25200.0,,,,669735.0,38775.0,95460.0,,,,,,,,
"Ear, Nose and Throat Conditions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14430.0,,,,,,,19740.0,221565.0,,,,,,,,10005.0,,,,,,,,,356130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11025.0,,,,,,,,,,,,,,,,,,,18435.0,,16650.0,,,,,,,,
Early Childhood Education,,,,,168030.0,,,,,,,,,,,,24585.0,,,,,,,,,,,,,18990.0,,,,,,,57600.0,16080.0,,,,,10455.0,,13320.0,,,,,,,,,,152115.0,,,,,,,,,,10185.0,,,,,,,,,10845.0,,13170.0,,,,13410.0,,,,42825.0,,,25950.0,,,11400.0,,,,,,,,,11925.0,,,,29100.0,,80415.0,,,,,,,,
Economy,,,,,99885.0,,55005.0,,,,,,,,11940.0,,49260.0,,11205.0,,,,,,,,23325.0,,,32070.0,,33180.0,15930.0,,10125.0,,844305.0,79140.0,13935.0,,13965.0,10605.0,23640.0,,24810.0,10425.0,146760.0,88350.0,122655.0,,,,,,723180.0,,,,,,,,,23115.0,104595.0,,191070.0,17055.0,132780.0,52665.0,,,,90975.0,,163500.0,,,,454575.0,,,,238800.0,,,294765.0,14340.0,,,,,,14700.0,,,,15405.0,40500.0,,,,2801880.0,152565.0,166815.0,30105.0,,,,,,,
Education,,,,,231165.0,,11760.0,,,,,,16455.0,,,,44775.0,,,,,,,,,,14625.0,,,56400.0,,24915.0,,,17805.0,,357930.0,46635.0,,,13125.0,,37155.0,,49890.0,11370.0,,19575.0,,,,,,,733920.0,,,,,,,,,,25635.0,,,,17895.0,15285.0,,,,140490.0,,45510.0,16515.0,15765.0,,75780.0,,,,92685.0,,,80700.0,17790.0,,36990.0,,,,,,,22320.0,,48855.0,,,18660.0,212235.0,22290.0,152115.0,,,,,13785.0,,,
Education industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33315.0,,,,,,,,,,,,,,,,,,24615.0,,,,,,,,,,,,,,,,,,,,,,,,,40215.0,,,,,,,30060.0,,,,,,,,,,,,,,,,145995.0,,11685.0,,,,,,,,
Educational Assessment,,,,,57495.0,,,,,,,,,,,,,,,,,,,,,,18210.0,,,16530.0,,,,,,,19470.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19725.0,,,,,,,,,,,,,,,,,,,14520.0,,,,21180.0,,,,,,,,,,
Educational Radio,11205.0,145350.0,,132495.0,753045.0,55395.0,30675.0,43770.0,123810.0,33360.0,,,225915.0,,11655.0,,876015.0,110160.0,,194955.0,,,,61440.0,94770.0,53595.0,6518700.0,43035.0,75885.0,366795.0,,401205.0,61875.0,50445.0,144405.0,38190.0,360015.0,67290.0,,154440.0,651930.0,68610.0,182205.0,18960.0,167475.0,98325.0,79425.0,165960.0,87345.0,,,21540.0,,12690.0,109605.0,,,20250.0,457875.0,,106140.0,,,309720.0,218895.0,,453990.0,139260.0,48075.0,87990.0,33960.0,20595.0,124920.0,51645.0,63405.0,109335.0,29640.0,81480.0,,683835.0,,,,173730.0,16650.0,11475.0,133065.0,63870.0,,481860.0,33510.0,64140.0,,168690.0,153900.0,28920.0,47040.0,39915.0,160140.0,,45405.0,97875.0,405570.0,185805.0,3620475.0,33270.0,38970.0,25725.0,60060.0,31140.0,12645.0,25605.0,19860.0
Educational Video Games,,144270.0,,61560.0,135885.0,32760.0,130020.0,17595.0,27930.0,,,,37740.0,,,,142350.0,16680.0,,39435.0,,,,,11460.0,10905.0,2672415.0,,,194325.0,,150735.0,,19455.0,76170.0,,2405520.0,1371585.0,,103815.0,108705.0,60975.0,109305.0,,134265.0,221235.0,50130.0,428895.0,219615.0,,,30120.0,,,119085.0,,,,60555.0,,177645.0,,,58410.0,24240.0,,27060.0,12900.0,211065.0,228315.0,67890.0,,23325.0,121035.0,,309510.0,35835.0,,,2094510.0,,,,196995.0,,,48030.0,125625.0,,91215.0,22170.0,42825.0,,32460.0,21645.0,42555.0,282780.0,,212310.0,,77565.0,196695.0,1177485.0,252000.0,615570.0,,14190.0,,,115365.0,17460.0,,
Eldercare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18390.0,20940.0,,,,,,,,,,,,,,,,,,,,15270.0,,,,,17910.0,,19650.0,,,,104010.0,,,,,,,39045.0,,,,,,,,,,,,,,,,12615.0,,,,,,,,,,
Elections,,,,,78585.0,,22290.0,,,,,,,,,,81195.0,,,,,,,,,,,,,27450.0,,20610.0,,,10530.0,,595050.0,,,,24255.0,,12405.0,,17130.0,,,39915.0,,,,,,,605940.0,,,,,,,,,12045.0,22320.0,,10920.0,,31680.0,,,,,121590.0,,62415.0,,,,78330.0,,,,64695.0,,,145815.0,,,16980.0,,,,,,,,,15825.0,,,,277785.0,35490.0,338400.0,,,,,,,,
Email,,17640.0,,,96420.0,,,,,,,,,,,,,,,,,,,,,,14775.0,,,79980.0,,,,,,,34305.0,12240.0,,,,,,,13665.0,,,,,,,,,,30825.0,,,,10125.0,,19260.0,,,,32190.0,,,,,,,,,66975.0,,10410.0,,,,40515.0,,,,29130.0,,,14475.0,,,11145.0,,,,,,,,,40350.0,,,,125535.0,,34950.0,,,,,,,,
Endocrine and Metabolic Diseases,,24660.0,,10995.0,12720.0,,,,,,,,,,,,,11085.0,,13935.0,,,,,,,32715.0,,,123720.0,,,,,,,70845.0,128115.0,,,,,,,,17430.0,,10830.0,,,,,,,947280.0,,,,29655.0,,18645.0,,,,,,,,,,,,22455.0,13005.0,16440.0,11190.0,,,,40680.0,,,,18765.0,,,,,,45285.0,,,,,,,,,17565.0,,,,67335.0,,23835.0,,,,,,,,
Entertainment Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17085.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environment,,,,,13125.0,,,,,,,,,,,,26160.0,,,,,,,,,,,,,21045.0,,,,,,,22215.0,,,,,,,,,,,,,,,,,,42570.0,,,,,,,,,,,,,,48105.0,,,,,,,37830.0,,,,,,,,10485.0,,,,,,,,,,,,,,,,,,,11940.0,,81900.0,,,,,,,,
Environmental Services Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27195.0,,,,,,,,,,
Equine Sports,,11490.0,,,194820.0,,,,12030.0,,,,,,,,53490.0,,,,,,,,11190.0,,,,,68370.0,,25740.0,,18780.0,13230.0,,31080.0,11175.0,,,66360.0,,13125.0,,24375.0,,15165.0,,,,,,,,21180.0,,,,,,18645.0,,,50565.0,44385.0,,17370.0,,,,,,,,11730.0,,60270.0,,,20220.0,,,,25635.0,,,35925.0,,,59370.0,,,,13050.0,12270.0,,,,31485.0,,,,36645.0,16170.0,146430.0,,,,,,,,
