interest,Afghanistan,Algeria,Angola,Argentina,Australia,Austria,Bahrain,Bangladesh,Belgium,Bolivia,Bosnia-Herzegovina,Botswana,Brazil,Brunei,Cambodia,Cameroon,Canada,Chile,China,Colombia,Congo Dem Rep,CoteDIvore,Cuba,Czech,Denmark,Ecuador,Egypt,Ethiopia,Finland,France,Gambia,Germany,Ghana,Greece,Hong Kong,Hungary,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Lebanon,Lesotho,Liberia,Libya,Madagascar,Malawi,Malaysia,Mali,Mauritania,Mauritius,Mexico,Mongolia,Morocco,Mozambique,Namibia,Netherlands,New Zealand,Niger,Nigeria,Norway,Oman,Pakistan,Palestine,Paraguay,Peru,Philippines,Portugal,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Seychelles,Sierra Leone,Singapore,Slovakia,Somalia,South Africa,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tanzania,Thailand,Togo,Tunisia,Turkey,UAE,UK,USA,Uganda,Ukraine,Uruguay,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe
Advertising Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Travel,16185.0,37605.0,,,314970.0,10905.0,121170.0,23040.0,26100.0,,,,23955.0,,,,209430.0,,,,,,,18990.0,14295.0,,102555.0,,11085.0,187845.0,,87225.0,19365.0,11715.0,33825.0,,2301360.0,228465.0,31020.0,18150.0,105480.0,70530.0,61020.0,,141780.0,36930.0,59085.0,435360.0,75180.0,,,,,,317610.0,,,,17160.0,,59865.0,,10920.0,57510.0,81270.0,,60360.0,21285.0,383325.0,1002330.0,,,,169110.0,19620.0,485940.0,16050.0,,,818940.0,,,,326415.0,,,1182045.0,35385.0,,74325.0,19410.0,,,25380.0,29970.0,,36780.0,16320.0,151455.0,,29970.0,26505.0,3246705.0,186255.0,822585.0,11310.0,,,,12495.0,,,14145.0
Agnosticism,,546300.0,,,113160.0,19230.0,105660.0,,29190.0,,,,52665.0,21675.0,,,121335.0,,,,,,,,16185.0,,1423065.0,,,160440.0,,246495.0,,,,,1934130.0,384270.0,14850.0,477555.0,18765.0,59265.0,44355.0,,24090.0,253845.0,,199275.0,208800.0,,,186690.0,,,4300020.0,,34785.0,,,,392865.0,,,56955.0,16050.0,,612270.0,20835.0,150075.0,32625.0,91275.0,,,249330.0,,224760.0,,34875.0,,1594095.0,,,,141090.0,,11325.0,51570.0,,,29655.0,,66795.0,,87735.0,18960.0,464070.0,,,45705.0,,364530.0,217935.0,964530.0,139620.0,346470.0,,13320.0,,,,116580.0,,
Agriculture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20355.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Travel,,26715.0,,,11640.0,,15675.0,,,,,,,,,,,,,,,,,,,,28935.0,,,23430.0,,,,,,,430410.0,52650.0,10830.0,,,38175.0,,,58650.0,,10845.0,29025.0,17550.0,,,,,,173565.0,,,,,,38775.0,,,,27165.0,,17280.0,,72975.0,14205.0,,,,29760.0,,84330.0,,,,88260.0,,,,164985.0,,,84255.0,19125.0,,13515.0,,,,,,,16560.0,,73665.0,,20850.0,,646455.0,20340.0,35820.0,,,,,,,,
Album-oriented Rock,,13095.0,,,36405.0,,,,,,,,,,,,,,,,,,,,,,29160.0,,,68955.0,,,,,,,32520.0,,,,,,,,79530.0,,,,12060.0,,,,,,94905.0,,,,,,,,,,51630.0,,,,,,,,,34530.0,,,,,,46755.0,,,,21090.0,,,104865.0,,,,,,,,,,,,45495.0,,,,27990.0,11610.0,39285.0,,,,,,,,
Alcoholic Beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31455.0,,,,,,,12195.0,,,,,,,,14340.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48720.0,,,,,,,,,,,,,,,,,,,,,,,,,22440.0,,,,15525.0,,17820.0,,,,,,,,
Allergies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210870.0,,,,,,,,,,,,,,,,10905.0,,12600.0,,,,,,,,
Alternative Medicine,,,,,13155.0,,,,,,,,,,,,,,,,,,,,,,11475.0,,,,,,,,,,75180.0,25740.0,,,,,,,,,,,,,,,,,124125.0,,,,,,,,,,,,,,,,,,,,,17445.0,,,,28410.0,,,,10725.0,,,,,,,,,,,,,,,12300.0,,,,189750.0,10935.0,16515.0,,,,,,,,
Alternative Music,,,,,12255.0,,,,,,,,,,,,,,,,,,,,,,,,,23475.0,,,,,,,25245.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40875.0,,,,,,,,
Alternative Rock,,18600.0,,,36840.0,,,,,,,,,,,,,,,,,,,,,,15480.0,,,36600.0,,,,,,,54780.0,43830.0,,,,,,,62355.0,,16125.0,10005.0,,,,,,,24750.0,,,,,,,,,,63105.0,,11895.0,,,,,,,21345.0,,,,,,41220.0,,,,23040.0,,,99060.0,,,,,,,,,,,,45750.0,,,,49815.0,19605.0,38340.0,,,,,,,,
American Football,11625.0,18210.0,,20445.0,1762125.0,48045.0,51675.0,59160.0,145515.0,,,12975.0,52665.0,13305.0,41205.0,27885.0,769155.0,17040.0,,16245.0,21810.0,11460.0,,51120.0,105960.0,,79410.0,335445.0,86325.0,401010.0,19965.0,344940.0,254100.0,74490.0,216450.0,37680.0,897735.0,275865.0,12120.0,24135.0,1363110.0,60315.0,150360.0,53550.0,112050.0,23730.0,524235.0,77355.0,34455.0,,21960.0,,,52320.0,282150.0,,,93000.0,55845.0,,72660.0,13755.0,63105.0,383385.0,508995.0,,1617735.0,137835.0,56685.0,161295.0,,,17355.0,107865.0,138885.0,125460.0,54915.0,23535.0,14355.0,202290.0,,,39600.0,357480.0,15735.0,17625.0,781470.0,45330.0,34185.0,713895.0,68895.0,,,162780.0,157290.0,,22335.0,136800.0,287265.0,,13965.0,103275.0,642840.0,266535.0,2271150.0,217125.0,17400.0,,,30540.0,,114015.0,69960.0
