name,Afghanistan,Algeria,Angola,Argentina,Australia,Austria,Bahrain,Bangladesh,Belgium,Bolivia,Bosnia-Herzegovina,Botswana,Brazil,Brunei,Cambodia,Cameroon,Canada,Chad,Chile,China,Colombia,Congo,Congo Dem Rep,CoteDIvore,Cuba,Czech,Denmark,Ecuador,Egypt,Eritrea,Ethiopia,Finland,France,Gabon,Gambia,Germany,Ghana,Greece,Hong Kong,Hungary,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Lebanon,Lesotho,Liberia,Libya,Madagascar,Malawi,Malaysia,Mali,Mauritania,Mauritius,Mexico,Mongolia,Morocco,Mozambique,Namibia,Netherlands,New Zealand,Niger,Nigeria,North Korea,Norway,Oman,Pakistan,Palestine,Paraguay,Peru,Philippines,Portugal,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Seychelles,Sierra Leone,Singapore,Slovakia,Somalia,South Africa,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tanzania,Thailand,Togo,Tunisia,Turkey,UAE,UK,USA,Uganda,Ukraine,Uruguay,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe
Interest > Sports > Field Hockey,1.0,90.0,3.0,2.0,149.0,3.0,142.0,5.0,9.0,,1.0,12.0,3.0,3.0,1.0,,58.0,,,5.0,1.0,1.0,2.0,,,2.0,5.0,,46.0,,2.0,1.0,57.0,,,33.0,4.0,3.0,12.0,1.0,5822.0,13.0,1.0,16.0,22.0,8.0,22.0,,15.0,166.0,50.0,172.0,27.0,15.0,2.0,8.0,,2.0,59.0,17.0,,4.0,2.0,,125.0,8.0,14.0,21.0,31.0,1.0,28.0,,29.0,225.0,91.0,2.0,,,24.0,1.0,575.0,3.0,4.0,4.0,449.0,,1.0,1.0,75.0,,1.0,7590.0,5.0,,7.0,5.0,3.0,8.0,5.0,6.0,9.0,1.0,7.0,228.0,1.0,10.0,12.0,3421.0,143.0,1046.0,11.0,5.0,,2.0,2.0,33.0,6.0,14.0
Interest > Sports > Figure Skating,,10.0,3.0,1.0,160.0,2.0,58.0,3.0,6.0,,,15.0,5.0,2.0,1.0,3.0,99.0,,2.0,4.0,2.0,1.0,3.0,,,3.0,7.0,,35.0,,,4.0,25.0,,,33.0,12.0,6.0,25.0,1.0,5223.0,7.0,,6.0,41.0,9.0,23.0,,9.0,32.0,112.0,100.0,143.0,22.0,1.0,2.0,,8.0,49.0,1.0,,9.0,5.0,,7.0,7.0,15.0,21.0,48.0,,56.0,,23.0,82.0,19.0,,,15.0,24.0,8.0,154.0,4.0,7.0,6.0,199.0,,3.0,1.0,62.0,,1.0,4643.0,,2.0,17.0,10.0,2.0,4.0,9.0,13.0,5.0,2.0,12.0,8.0,,5.0,3.0,985.0,90.0,915.0,14.0,1.0,,2.0,1.0,2.0,20.0,44.0
Interest > Sports > Fishing Sports,4.0,635.0,19.0,8.0,964.0,40.0,363.0,36.0,67.0,1.0,2.0,405.0,33.0,12.0,11.0,30.0,654.0,1.0,5.0,21.0,8.0,5.0,35.0,12.0,,20.0,37.0,,748.0,3.0,126.0,30.0,533.0,6.0,9.0,233.0,196.0,24.0,89.0,22.0,16431.0,60.0,3.0,79.0,350.0,77.0,154.0,15.0,60.0,300.0,507.0,653.0,368.0,182.0,25.0,52.0,5.0,174.0,201.0,15.0,4.0,73.0,23.0,1.0,602.0,87.0,497.0,158.0,370.0,1.0,1025.0,,118.0,596.0,158.0,38.0,,48.0,345.0,31.0,1226.0,9.0,74.0,33.0,1606.0,14.0,15.0,40.0,261.0,4.0,16.0,63662.0,36.0,38.0,136.0,20.0,21.0,188.0,71.0,83.0,27.0,15.0,149.0,322.0,7.0,82.0,53.0,6521.0,870.0,4844.0,211.0,10.0,2.0,5.0,23.0,46.0,336.0,572.0
Interest > Sports > Golf,2.0,233.0,3.0,1.0,333.0,4.0,43.0,6.0,16.0,1.0,,46.0,6.0,2.0,2.0,,161.0,,3.0,1.0,1.0,1.0,7.0,5.0,1.0,3.0,7.0,1.0,107.0,,9.0,8.0,295.0,,,48.0,19.0,8.0,24.0,1.0,4106.0,14.0,118.0,14.0,88.0,23.0,18.0,1.0,4.0,25.0,84.0,58.0,113.0,19.0,1.0,12.0,3.0,28.0,25.0,17.0,1.0,19.0,4.0,1.0,147.0,15.0,60.0,38.0,167.0,,104.0,,43.0,60.0,20.0,1.0,,40.0,22.0,8.0,135.0,,9.0,5.0,361.0,1.0,2.0,1.0,39.0,2.0,1.0,10948.0,5.0,1.0,31.0,6.0,9.0,20.0,14.0,20.0,6.0,8.0,36.0,254.0,,13.0,17.0,1584.0,190.0,1863.0,18.0,2.0,,,2.0,37.0,56.0,88.0
Interest > Sports > Gymnastics,,15.0,1.0,,88.0,7.0,32.0,2.0,9.0,,,27.0,3.0,,1.0,,89.0,,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,,18.0,,6.0,2.0,23.0,,,23.0,10.0,6.0,13.0,2.0,2343.0,9.0,,6.0,23.0,6.0,8.0,,10.0,21.0,25.0,35.0,405.0,6.0,,,,16.0,11.0,,,2.0,,,7.0,9.0,28.0,13.0,21.0,,27.0,,19.0,23.0,7.0,2.0,1.0,40.0,23.0,2.0,324.0,3.0,1.0,3.0,110.0,1.0,2.0,1.0,15.0,,,2323.0,6.0,1.0,12.0,3.0,4.0,10.0,10.0,14.0,3.0,5.0,9.0,8.0,,1.0,3.0,383.0,51.0,947.0,9.0,,,1.0,4.0,,21.0,48.0
Interest > Sports > Hunting and Shooting,,43.0,16.0,1.0,359.0,17.0,231.0,4.0,15.0,,,108.0,13.0,12.0,2.0,,168.0,,4.0,15.0,,1.0,20.0,4.0,1.0,4.0,11.0,,54.0,,9.0,7.0,81.0,,,70.0,13.0,1.0,23.0,7.0,9000.0,16.0,,15.0,62.0,23.0,52.0,,37.0,18.0,19.0,223.0,25.0,63.0,2.0,6.0,,6.0,113.0,8.0,,5.0,8.0,,32.0,34.0,125.0,42.0,106.0,,21.0,,49.0,338.0,24.0,6.0,,2.0,50.0,10.0,393.0,4.0,7.0,4.0,542.0,,4.0,2.0,164.0,3.0,7.0,57695.0,9.0,1.0,21.0,9.0,7.0,45.0,18.0,15.0,3.0,13.0,16.0,37.0,,4.0,14.0,2992.0,496.0,1725.0,13.0,1.0,2.0,1.0,14.0,34.0,21.0,44.0
Interest > Sports > Ice Hockey,1.0,41.0,4.0,3.0,324.0,9.0,250.0,6.0,16.0,,,34.0,6.0,6.0,2.0,2.0,182.0,,3.0,4.0,1.0,1.0,8.0,2.0,1.0,4.0,6.0,,199.0,,5.0,4.0,89.0,1.0,,55.0,16.0,10.0,29.0,4.0,11676.0,13.0,1.0,17.0,64.0,18.0,36.0,1.0,31.0,180.0,111.0,328.0,48.0,31.0,4.0,7.0,1.0,9.0,95.0,6.0,,9.0,8.0,,85.0,17.0,40.0,54.0,71.0,1.0,79.0,,56.0,355.0,203.0,5.0,,,51.0,8.0,510.0,4.0,19.0,6.0,843.0,1.0,5.0,3.0,104.0,1.0,3.0,15386.0,11.0,1.0,20.0,10.0,6.0,13.0,15.0,26.0,9.0,4.0,17.0,243.0,1.0,10.0,21.0,5688.0,283.0,1845.0,17.0,6.0,,,9.0,33.0,20.0,44.0
Interest > Sports > Inline Skating,,7.0,,,22.0,,4.0,,,,,3.0,,,,1.0,9.0,,,,,,1.0,1.0,,,,,56.0,,,,13.0,,,5.0,3.0,1.0,,,615.0,5.0,,4.0,5.0,3.0,3.0,,1.0,10.0,39.0,8.0,8.0,8.0,1.0,3.0,,1.0,1.0,,,,2.0,,8.0,2.0,2.0,4.0,4.0,,31.0,,7.0,7.0,2.0,2.0,,,1.0,1.0,18.0,,3.0,4.0,51.0,,1.0,1.0,1.0,,,1796.0,,,1.0,,5.0,2.0,3.0,2.0,2.0,,3.0,1.0,,4.0,1.0,37.0,6.0,203.0,8.0,,,,,1.0,6.0,8.0
Interest > Sports > Lacrosse,,58.0,1.0,,25.0,,3.0,2.0,3.0,,,4.0,1.0,,1.0,3.0,13.0,,,,,,2.0,,,1.0,1.0,,79.0,,1.0,,2.0,,,6.0,4.0,2.0,2.0,1.0,862.0,8.0,,3.0,8.0,7.0,5.0,,1.0,9.0,39.0,11.0,28.0,31.0,,4.0,,2.0,4.0,,1.0,4.0,1.0,,69.0,,8.0,3.0,1.0,,38.0,,7.0,15.0,2.0,5.0,,,10.0,1.0,35.0,,1.0,2.0,50.0,,,,6.0,,1.0,3988.0,1.0,,2.0,,,7.0,5.0,,5.0,,7.0,8.0,,7.0,6.0,220.0,58.0,424.0,19.0,,,,5.0,,4.0,15.0
Interest > Sports > Martial Arts,,11.0,2.0,1.0,54.0,1.0,8.0,3.0,9.0,,1.0,46.0,3.0,1.0,3.0,9.0,58.0,,,3.0,,,7.0,2.0,,2.0,7.0,,18.0,,18.0,6.0,48.0,4.0,3.0,21.0,28.0,2.0,8.0,,2051.0,7.0,,4.0,18.0,6.0,4.0,2.0,7.0,9.0,85.0,6.0,17.0,16.0,5.0,2.0,1.0,34.0,36.0,6.0,,9.0,1.0,,9.0,10.0,87.0,12.0,20.0,,171.0,,21.0,20.0,29.0,2.0,,,49.0,4.0,17.0,1.0,,4.0,55.0,3.0,4.0,5.0,20.0,,2.0,2665.0,2.0,7.0,12.0,1.0,1.0,17.0,2.0,10.0,,2.0,30.0,229.0,3.0,9.0,4.0,672.0,48.0,916.0,44.0,,,,2.0,2.0,72.0,95.0
