4716344,South Africa,Interest > News and Politics,5106810,1360429
1251216,South Africa,Interest > News and Politics > Local News,4718241,1297134
54332,South Africa,Interest > News and Politics > National News,4698700,1291477
560092,South Africa,Interest > News and Politics > International News,4139142,1155028
711102,South Africa,Interest > Internet,3361691,691298
105401,South Africa,Interest > Events and Attractions,2913159,674050
33520,South Africa,Interest > Rugby,2692285,867601
2736077,South Africa,Interest > Pop Culture,2599230,449779
3505322,South Africa,Interest > Rugby > Rugby League,2494223,805975
3728752,South Africa,Interest > Travel Locations,2423955,709319
2922167,South Africa,Interest > Rugby > Rugby Union,2388885,811321
3067024,South Africa,Interest > Pop Culture > Celebrity Scandal,2228387,331903
4794033,South Africa,Interest > Television,2223214,658230
1696210,South Africa,Interest > Travel Locations > South America Travel,2213025,679008
3429260,South Africa,Interest > Pop Culture > Celebrity Style,2198236,290524
4696361,South Africa,Interest > Pop Culture > Celebrity Relationships,2171657,290395
1562479,South Africa,Interest > Internet > Web Hosting,2055054,251645
3051650,South Africa,Interest > Pop Culture > Celebrity Deaths,2041143,241710
1100548,South Africa,Interest > Parenting,2019769,774509
1513821,South Africa,Interest > Travel Locations > North America Travel,1920798,609191
66868,South Africa,Interest > Talk Radio,1919418,581653
194239,South Africa,Interest > Talk Radio > News Radio,1883080,570601
2170923,South Africa,Interest > Talk Radio > Business News Radio,1881493,571957
10797,South Africa,Interest > Personal Celebrations & Life Events,1796275,632940
1677676,South Africa,Interest > Parenting > Parenting Teens,1757321,697427
3970821,South Africa,Interest > Travel Locations > Africa Travel,1720611,518839
385935,South Africa,Interest > Events and Attractions > National & Civic Holidays,1674038,466458
3516807,South Africa,Interest > Sports,1672084,494530
2395180,South Africa,Interest > Sports > Snooker/Pool/Billiards,1672084,494530
1798951,South Africa,Interest > Shopping,1610476,490719
1291582,South Africa,Interest > Parenting > Special Needs Kids,1572028,645336
2573942,South Africa,Interest > Travel Type,1520870,287798
0,South Africa,Interest > Financial Assistance,1415095,601222
4103954,South Africa,Interest > Internet > Internet for Beginners,1399739,531449
1209818,South Africa,Interest > Family and Relationships,1339219,568803
3608729,South Africa,Interest > News and Politics > Crime,1334819,583432
87317,South Africa,Interest > Events and Attractions > Historic Site and Landmark Tours,1330086,291799
3839724,South Africa,Interest > Financial Assistance > Student Financial Aid,1301254,565868
2688565,South Africa,Interest > Financial Assistance > Government Support and Welfare,1289450,561423
4047569,South Africa,Interest > Economy,1147421,459551
778540,South Africa,Interest > Family and Relationships > Marriage and Civil Unions,1133450,518180
2627492,South Africa,Interest > Internet > Internet of Things,1100720,429140
1787995,South Africa,Interest > Real Estate,1098436,439353
1833173,South Africa,Interest > Parenting > Parenting Children Aged 4-11,1094093,454581
1746237,South Africa,Interest > Internet > IT and Internet Support,1083775,446776
2814502,South Africa,Interest > Travel Type > Beach Travel,1071383,204498
644151,South Africa,Interest > Parenting > Parenting Babies and Toddlers,1068230,428165
788670,South Africa,Interest > Business Banking & Finance,1031529,403409
1967200,South Africa,Interest > Shopping > Lotteries and Scratchcards,1026261,327107
800358,South Africa,Interest > Television > Holiday TV,1021052,341390
3371668,South Africa,Interest > Travel Locations > Australia and Oceania Travel,1016497,333261
3811209,South Africa,Interest > Shopping > Holiday Shopping,1003143,327269
3619800,South Africa,Interest > Music and Audio,989603,325886
1501972,South Africa,Interest > Music and Audio > R&B/Soul/Funk,989603,325886
525496,South Africa,Interest > Music and Audio > Songwriters/Folk,989603,325886
3893461,South Africa,Interest > Events and Attractions > Malls & Shopping Centers,980017,192016
919249,South Africa,Interest > Television > Reality TV,957328,344875
1401887,South Africa,Interest > Shopping > Grocery Shopping,945171,307871
345351,South Africa,Interest > Television > Children's TV,933858,332139
1543303,South Africa,Interest > Personal Celebrations & Life Events > Baby Shower,927696,369591
625587,South Africa,Interest > Sports > Australian Rules Football,921705,261783
900405,South Africa,Interest > Television > Sports TV,880776,308270
3338660,South Africa,Interest > Family and Relationships > Divorce,877660,387572
3662623,South Africa,Interest > Auto Body Styles,871706,368165
1230739,South Africa,Interest > Business,861854,379591
1413408,South Africa,Interest > Television > Music TV,858471,287338
666035,South Africa,Interest > Sports > American Football,858329,226316
1986199,South Africa,Interest > Travel Type > Honeymoons and Getaways,849499,148545
4592969,South Africa,Interest > Real Estate > Real Estate Renting and Leasing,822075,347173
3350778,South Africa,Interest > Television > Factual TV,822003,264106
1270987,South Africa,Interest > Personal Celebrations & Life Events > Birthday,819914,307697
114900,South Africa,Interest > Business Banking & Finance > Debt Factoring & Invoice Discounting,810241,328967
1491045,South Africa,Interest > Politics,789857,326004
742905,South Africa,Interest > Video Game Genres,785344,229143
4406239,South Africa,Interest > Travel Locations > Europe Travel,761994,224922
467257,South Africa,Interest > Events and Attractions > Concerts & Music Events,760214,242739
1387969,South Africa,Interest > Pop Culture > Celebrity Families,755642,299891
2143936,South Africa,Interest > Shopping > Coupons and Discounts,750369,237760
4553507,South Africa,Interest > Politics > Political Issues,746647,314486
156283,South Africa,Interest > Travel Type > Adventure Travel,744074,149423
982376,South Africa,Interest > Sports > Soccer,739175,228311
1480032,South Africa,Interest > Home Utilities,733168,326349
3779412,South Africa,Interest > Travel Locations > Asia Travel,693337,207393
2755515,South Africa,Interest > Family and Relationships > Single Life,689304,323185
2134213,South Africa,Interest > Television > Drama TV,686338,265767
3987211,South Africa,Interest > Business > Government Business,682525,322370
4755900,South Africa,Interest > Television > Comedy TV,665732,272765
1082533,South Africa,Interest > Auto Type,664337,264021
3640954,South Africa,Interest > Personal Celebrations & Life Events > Bachelor Party,656454,276442
4433224,South Africa,Interest > News and Politics > Weather,650309,258888
4369545,South Africa,Interest > Television > Science Fiction TV,649537,224846
146994,South Africa,Interest > Travel Type > Hotels and Motels,638070,110347
2496861,South Africa,Interest > Personal Celebrations & Life Events > Wedding,627173,230049
2180704,South Africa,Interest > Auto Type > Driverless Cars,624404,254240
1011765,South Africa,Interest > Personal Finance,618192,283631
2644017,South Africa,Interest > Rock Music,616155,195328
2799265,South Africa,Interest > Auto Body Styles > SUV,614201,283830
2191079,South Africa,Interest > Internet > Web Design and HTML,607583,219238
3849039,South Africa,Interest > Style & Fashion,603334,272551
4415681,South Africa,Interest > Economy > Gasoline Prices,584735,249607
